URL,Match_Status,domain,dealspotr loc
https://givingassistant.org/coupon-codes/gap.com,Matched,gap.com,https://dealspotr.com/promo-codes/gap.com
https://givingassistant.org/coupon-codes/vistaprint.com,Matched,vistaprint.com,https://dealspotr.com/promo-codes/vistaprint.com
https://givingassistant.org/coupon-codes/ebags.com,Matched,ebags.com,https://dealspotr.com/promo-codes/ebags.com
https://givingassistant.org/coupon-codes/travelocity.com,Matched,travelocity.com,https://dealspotr.com/promo-codes/travelocity.com
https://givingassistant.org/coupon-codes/bigdogs.com,Matched,bigdogs.com,https://dealspotr.com/promo-codes/bigdogs.com
https://givingassistant.org/coupon-codes/staples.com,Matched,staples.com,https://dealspotr.com/promo-codes/staples.com
https://givingassistant.org/coupon-codes/1800petmeds.com,Matched,1800petmeds.com,https://dealspotr.com/promo-codes/1800petmeds.com
https://givingassistant.org/coupon-codes/zappos.com,Matched,zappos.com,https://dealspotr.com/promo-codes/zappos.com
https://givingassistant.org/coupon-codes/cheaptickets.com,Matched,cheaptickets.com,https://dealspotr.com/promo-codes/cheaptickets.com
https://givingassistant.org/coupon-codes/footlocker.com,Matched,footlocker.com,https://dealspotr.com/promo-codes/footlocker.com
https://givingassistant.org/coupon-codes/macys.com,Matched,macys.com,https://dealspotr.com/promo-codes/macys.com
https://givingassistant.org/coupon-codes/ebay.com,Matched,ebay.com,https://dealspotr.com/promo-codes/ebay.com
https://givingassistant.org/coupon-codes/magazines.com,Matched,magazines.com,https://dealspotr.com/promo-codes/magazines.com
https://givingassistant.org/coupon-codes/grocery.walmart.com,Not Matched,grocery.walmart.com,
https://givingassistant.org/coupon-codes/oldnavy.com,Not Matched,oldnavy.com,
https://givingassistant.org/coupon-codes/hotels.com,Matched,hotels.com,https://dealspotr.com/promo-codes/hotels.com
https://givingassistant.org/coupon-codes/orbitz.com,Matched,orbitz.com,https://dealspotr.com/promo-codes/orbitz.com
https://givingassistant.org/coupon-codes/lanebryant.com,Matched,lanebryant.com,https://dealspotr.com/promo-codes/lanebryant.com
https://givingassistant.org/coupon-codes/sharperimage.com,Matched,sharperimage.com,https://dealspotr.com/promo-codes/sharperimage.com
https://givingassistant.org/coupon-codes/plowhearth.com,Matched,plowhearth.com,https://dealspotr.com/promo-codes/plowhearth.com
https://givingassistant.org/coupon-codes/gardeners.com,Matched,gardeners.com,https://dealspotr.com/promo-codes/gardeners.com
https://givingassistant.org/coupon-codes/lillianvernon.com,Matched,lillianvernon.com,https://dealspotr.com/promo-codes/lillianvernon.com
https://givingassistant.org/coupon-codes/hallmarkecards.com,Not Matched,hallmarkecards.com,
https://givingassistant.org/coupon-codes/fragrancenet.com,Matched,fragrancenet.com,https://dealspotr.com/promo-codes/fragrancenet.com
https://givingassistant.org/coupon-codes/justmysize.com,Matched,justmysize.com,https://dealspotr.com/promo-codes/justmysize.com
https://givingassistant.org/coupon-codes/petsmart.com,Matched,petsmart.com,https://dealspotr.com/promo-codes/petsmart.com
https://givingassistant.org/coupon-codes/thrifty.com,Matched,thrifty.com,https://dealspotr.com/promo-codes/thrifty.com
https://givingassistant.org/coupon-codes/audible.com,Matched,audible.com,https://dealspotr.com/promo-codes/audible.com
https://givingassistant.org/coupon-codes/alibris.com,Matched,alibris.com,https://dealspotr.com/promo-codes/alibris.com
https://givingassistant.org/coupon-codes/catherines.com,Matched,catherines.com,https://dealspotr.com/promo-codes/catherines.com
https://givingassistant.org/coupon-codes/snapfish.com,Matched,snapfish.com,https://dealspotr.com/promo-codes/snapfish.com
https://givingassistant.org/coupon-codes/att.com,Matched,att.com,https://dealspotr.com/promo-codes/att.com
https://givingassistant.org/coupon-codes/buycostumes.com,Matched,buycostumes.com,https://dealspotr.com/promo-codes/buycostumes.com
https://givingassistant.org/coupon-codes/musiciansfriend.com,Matched,musiciansfriend.com,https://dealspotr.com/promo-codes/musiciansfriend.com
https://givingassistant.org/coupon-codes/1800flowers.com,Matched,1800flowers.com,https://dealspotr.com/promo-codes/1800flowers.com
https://givingassistant.org/coupon-codes/neweggflash.com,Not Matched,neweggflash.com,
https://givingassistant.org/coupon-codes/payless.com,Matched,payless.com,https://dealspotr.com/promo-codes/payless.com
https://givingassistant.org/coupon-codes/westin.com,Not Matched,westin.com,
https://givingassistant.org/coupon-codes/fandango.com,Matched,fandango.com,https://dealspotr.com/promo-codes/fandango.com
https://givingassistant.org/coupon-codes/wine.com,Matched,wine.com,https://dealspotr.com/promo-codes/wine.com
https://givingassistant.org/coupon-codes/delias.com,Not Matched,delias.com,
https://givingassistant.org/coupon-codes/costumesupercenter.com,Matched,costumesupercenter.com,https://dealspotr.com/promo-codes/costumesupercenter.com
https://givingassistant.org/coupon-codes/nutrisystem.com,Matched,nutrisystem.com,https://dealspotr.com/promo-codes/nutrisystem.com
https://givingassistant.org/coupon-codes/avon.com,Matched,avon.com,https://dealspotr.com/promo-codes/avon.com
https://givingassistant.org/coupon-codes/nordstrom.com,Matched,nordstrom.com,https://dealspotr.com/promo-codes/nordstrom.com
https://givingassistant.org/coupon-codes/skinstore.com,Matched,skinstore.com,https://dealspotr.com/promo-codes/skinstore.com
https://givingassistant.org/coupon-codes/123inkjets.com,Matched,123inkjets.com,https://dealspotr.com/promo-codes/123inkjets.com
https://givingassistant.org/coupon-codes/magazineline.com,Matched,magazineline.com,https://dealspotr.com/promo-codes/magazineline.com
https://givingassistant.org/coupon-codes/usatoday.com,Matched,usatoday.com,https://dealspotr.com/promo-codes/usatoday.com
https://givingassistant.org/coupon-codes/hammacher.com,Matched,hammacher.com,https://dealspotr.com/promo-codes/hammacher.com
https://givingassistant.org/coupon-codes/brookstone.com,Matched,brookstone.com,https://dealspotr.com/promo-codes/brookstone.com
https://givingassistant.org/coupon-codes/thebodyshop.com,Not Matched,thebodyshop.com,
https://givingassistant.org/coupon-codes/sony.com,Not Matched,sony.com,
https://givingassistant.org/coupon-codes/mrsfields.com,Matched,mrsfields.com,https://dealspotr.com/promo-codes/mrsfields.com
https://givingassistant.org/coupon-codes/amazon.com,Matched,amazon.com,https://dealspotr.com/promo-codes/amazon.com
https://givingassistant.org/coupon-codes/4inkjets.com,Matched,4inkjets.com,https://dealspotr.com/promo-codes/4inkjets.com
https://givingassistant.org/coupon-codes/proactiv.com,Matched,proactiv.com,https://dealspotr.com/promo-codes/proactiv.com
https://givingassistant.org/coupon-codes/match.com,Matched,match.com,https://dealspotr.com/promo-codes/match.com
https://givingassistant.org/coupon-codes/eharmony.com,Matched,eharmony.com,https://dealspotr.com/promo-codes/eharmony.com
https://givingassistant.org/coupon-codes/roxio.com,Matched,roxio.com,https://dealspotr.com/promo-codes/roxio.com
https://givingassistant.org/coupon-codes/barenecessities.com,Matched,barenecessities.com,https://dealspotr.com/promo-codes/barenecessities.com
https://givingassistant.org/coupon-codes/sierra.com,Matched,sierra.com,https://dealspotr.com/promo-codes/sierra.com
https://givingassistant.org/coupon-codes/omahasteaks.com,Matched,omahasteaks.com,https://dealspotr.com/promo-codes/omahasteaks.com
https://givingassistant.org/coupon-codes/gaiam.com,Matched,gaiam.com,https://dealspotr.com/promo-codes/gaiam.com
https://givingassistant.org/coupon-codes/gamestop.com,Matched,gamestop.com,https://dealspotr.com/promo-codes/gamestop.com
https://givingassistant.org/coupon-codes/lens.com,Matched,lens.com,https://dealspotr.com/promo-codes/lens.com
https://givingassistant.org/coupon-codes/godaddy.com,Matched,godaddy.com,https://dealspotr.com/promo-codes/godaddy.com
https://givingassistant.org/coupon-codes/golfballs.com,Matched,golfballs.com,https://dealspotr.com/promo-codes/golfballs.com
https://givingassistant.org/coupon-codes/enterprise.com,Matched,enterprise.com,https://dealspotr.com/promo-codes/enterprise.com
https://givingassistant.org/coupon-codes/lampsplus.com,Matched,lampsplus.com,https://dealspotr.com/promo-codes/lampsplus.com
https://givingassistant.org/coupon-codes/puritan.com,Matched,puritan.com,https://dealspotr.com/promo-codes/puritan.com
https://givingassistant.org/coupon-codes/vitacost.com,Matched,vitacost.com,https://dealspotr.com/promo-codes/vitacost.com
https://givingassistant.org/coupon-codes/musicnotes.com,Matched,musicnotes.com,https://dealspotr.com/promo-codes/musicnotes.com
https://givingassistant.org/coupon-codes/relaxtheback.com,Matched,relaxtheback.com,https://dealspotr.com/promo-codes/relaxtheback.com
https://givingassistant.org/coupon-codes/callawaygolfpreowned.com,Matched,callawaygolfpreowned.com,https://dealspotr.com/promo-codes/callawaygolfpreowned.com
