URL,Match_Status,domain,dealspotr loc
https://minty.com,Not Matched,minty.com,
https://minty.com/s/onehanesplace.com,Matched,onehanesplace.com,https://dealspotr.com/promo-codes/onehanesplace.com
https://minty.com/s/stanley1913.com,Matched,stanley1913.com,https://dealspotr.com/promo-codes/stanley1913.com
https://minty.com/s/temu.com,Matched,temu.com,https://dealspotr.com/promo-codes/temu.com
https://minty.com/s/verizon.com,Matched,verizon.com,https://dealspotr.com/promo-codes/verizon.com
https://minty.com/s/cheapcaribbean.com,Matched,cheapcaribbean.com,https://dealspotr.com/promo-codes/cheapcaribbean.com
https://minty.com/s/teleflora.com,Matched,teleflora.com,https://dealspotr.com/promo-codes/teleflora.com
https://minty.com/s/southwestvacations.com,Matched,southwestvacations.com,https://dealspotr.com/promo-codes/southwestvacations.com
https://minty.com/s/groupon.com,Matched,groupon.com,https://dealspotr.com/promo-codes/groupon.com
https://minty.com/s/ebay.com,Matched,ebay.com,https://dealspotr.com/promo-codes/ebay.com
https://minty.com/s/ford.com,Matched,ford.com,https://dealspotr.com/promo-codes/ford.com
https://minty.com/s/clearweatherbrand.com,Matched,clearweatherbrand.com,https://dealspotr.com/promo-codes/clearweatherbrand.com
https://minty.com/s/easyspirit.com,Matched,easyspirit.com,https://dealspotr.com/promo-codes/easyspirit.com
https://minty.com/s/gotogate.com,Matched,gotogate.com,https://dealspotr.com/promo-codes/gotogate.com
https://minty.com/s/quartet.com,Matched,quartet.com,https://dealspotr.com/promo-codes/quartet.com
https://minty.com/s/goodnesslover.com,Matched,goodnesslover.com,https://dealspotr.com/promo-codes/goodnesslover.com
https://minty.com/s/escapetheroom.com,Matched,escapetheroom.com,https://dealspotr.com/promo-codes/escapetheroom.com
https://minty.com/s/boscovs.com,Matched,boscovs.com,https://dealspotr.com/promo-codes/boscovs.com
https://minty.com/s/teamgat.com,Not Matched,teamgat.com,
https://minty.com/s/goodyearautoservice.com,Matched,goodyearautoservice.com,https://dealspotr.com/promo-codes/goodyearautoservice.com
https://minty.com/s/bestpresso.com,Matched,bestpresso.com,https://dealspotr.com/promo-codes/bestpresso.com
https://minty.com/s/us.allsaints.com,Not Matched,us.allsaints.com,
https://minty.com/s/costco.com,Matched,costco.com,https://dealspotr.com/promo-codes/costco.com
https://minty.com/s/stance.com,Matched,stance.com,https://dealspotr.com/promo-codes/stance.com
https://minty.com/s/mideerart.com,Matched,mideerart.com,https://dealspotr.com/promo-codes/mideerart.com
https://minty.com/s/100percentpure.com,Matched,100percentpure.com,https://dealspotr.com/promo-codes/100percentpure.com
https://minty.com/s/us.laneige.com,Matched,us.laneige.com,https://dealspotr.com/promo-codes/us.laneige.com
https://minty.com/s/kingscamo.com,Matched,kingscamo.com,https://dealspotr.com/promo-codes/kingscamo.com
